File Creation Date,2025-03-14
Sampling Location,

2m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/12,,0.86,,0.53
2024/02/07,,0.86,,0.84
2024/01/17,,0.89,,1.1
2023/12/05,,0.96,,0.83
2023/11/28,,0.8,,0.89
2023/10/17,,0.85,,0.84
2023/09/20,,0.88,,0.76
2023/08/04,,1.1,,0.84
2023/07/06,,1.1,,0.92
2023/06/19,,1.1,,0.92
2023/05/19,,1,,1
2023/04/17,,1,,1
2023/03/14,,1,,1
2023/02/14,,1,,1
2023/01/13,,1,,1
2022/12/13,,1,,1
2022/11/02,,1,,1
2022/10/11,,1,,1
2022/09/05,,1,,1
2022/08/08,,1,,1
2022/07/08,,1,,1
2022/06/17,,1,,1
2022/05/11,,1,,1
2022/04/18,,1,,1
2022/03/07,,1,,1
2022/02/21,,1,,1
2022/01/14,,1,,1
2021/12/09,,1,,1
2021/11/01,,1,,1
2021/10/08,,1,,1
2021/09/10,,1,,1
2021/08/03,,1,,1
2021/07/07,,1,,1
2021/06/11,,1,,1
2021/05/11,,1,,1
2021/04/09,,1,,1
