File Creation Date,2026-01-05
Sampling Location,

Surface layer,,,Bottom layer,,
,H-3,,,H-3,
Date and time of Sampling,Dt,ND,Date and time of Sampling,Dt,ND
2025/05/27,0.084,,2025/05/27,0.1,
2025/01/21,0.072,,2025/01/21,0.051,
2024/11/13,0.081,,2024/11/13,0.094,
2024/09/12,0.13,,2024/09/12,0.1,
2024/05/22,0.75,,2024/05/22,0.75,
2024/02/08,0.071,,2024/02/08,0.053,
2023/11/15,0.31,,2023/11/15,0.37,
2023/08/25,0.051,,2023/09/13,0.096,
2023/05/31,,0.05,2023/05/31,0.1,
2023/01/18,0.051,,2023/01/18,,0.04
2022/10/31,0.11,,2022/10/31,0.076,
2022/08/26,0.11,,2022/08/26,0.12,
2022/06/22,0.13,,2022/06/22,0.13,
