File Creation Date,2026-01-29
Sampling Location,

2m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/11,,0.68,,0.56
2024/02/07,,0.9,,0.7
2024/01/17,,0.89,,0.93
2023/12/05,,0.99,,0.93
2023/11/28,,0.8,,0.84
2023/10/17,,0.77,,0.84
2023/09/20,,0.97,,0.76
2023/08/04,,1.1,,0.92
2023/07/10,,1.2,,0.99
2023/06/19,,1,,0.84
2023/05/19,,1,,1
2023/04/17,,1,,1
2023/03/14,,1,,1
2023/02/14,,1,,1
2023/01/13,,1,,1
2022/12/13,,1,,1
2022/11/02,,1,,1
2022/10/11,,1,,1
2022/09/05,,1,,1
2022/08/08,,1,,1
2022/07/08,,1,,1
2022/06/17,,1,,1
2022/05/11,,1,,1
2022/04/18,,1,,1
2022/03/07,,1,,1
2022/02/21,,1,,1
2022/01/14,,1,,1
2021/12/09,,1,,1
2021/11/01,,1,,1
2021/10/08,,1,,1
2021/09/10,,1,,1
2021/08/03,,1,,1
2021/07/07,,1,,1
2021/06/11,,1,,1
2021/05/11,,1,,1
2021/04/09,,1,,1
