File Creation Date,2025-07-04
Sampling Location,

2m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/04,,0.69,,0.56
2024/02/07,,1.1,,1.3
2024/01/17,,0.91,,0.84
2023/12/05,,0.82,,1
2023/11/10,,1,,1
2023/10/05,,0.78,,0.73
2023/09/14,,0.91,,0.79
2023/08/08,,0.92,,0.76
2023/07/12,,0.91,,0.76
2023/06/08,,0.99,,0.89
2023/05/10,,1,,1
2023/04/11,,1,,1
2023/03/01,,1,,1
2023/02/09,,1,,1
2023/01/12,,1,,1
2022/12/02,,1,,1
2022/11/02,,1,,1
2022/10/05,,1,,1
2022/09/09,,1,,1
2022/08/02,,1,,1
2022/07/06,,1,,1
2022/06/01,,1,,1
2022/05/10,,1,,1
2022/04/13,,1,,1
2022/03/10,,1,,1
2022/02/09,,1,,1
2022/01/26,,1,,1
2021/12/22,,1,,1
2021/11/17,,1,,1
2021/10/27,,1,,1
2021/09/15,,1,,1
2021/08/25,,1,,1
2021/07/28,,1,,1
2021/06/23,,1,,1
2021/05/26,,1,,1
2021/04/21,,1,,1
