File Creation Date,2025-03-03
Sampling Location,

Surface layer,,,Bottom layer,,
,H-3,,,H-3,
Date and time of Sampling,Dt,ND,Date and time of Sampling,Dt,ND
2024/09/12,0.1,,2024/09/12,0.084,
2024/05/21,1.8,,2024/05/21,1.1,
2024/01/31,0.048,,2024/01/31,,0.04
2023/11/14,0.23,,2023/11/14,0.29,
2023/09/13,0.097,,2023/09/13,0.052,
2023/05/30,0.16,,2023/05/30,0.16,
2023/01/18,0.14,,2023/01/18,0.13,
2022/10/31,0.16,,2022/10/31,0.16,
2022/08/26,0.17,,2022/08/26,0.13,
2022/06/23,0.13,,2022/06/23,0.15,
