File Creation Date,2025-03-27
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/03/02,Japanese amberjack,Cs-134,,7.9,Bq/kg
2025/03/02,Japanese amberjack,Cs-137,,7.5,Bq/kg
2025/02/16,Pacific barrelfish,Cs-134,,7.6,Bq/kg
2025/02/16,Goldeye rockfish,Cs-134,,8.6,Bq/kg
2025/02/16,Pacific barrelfish,Cs-137,,7.9,Bq/kg
2025/02/16,Goldeye rockfish,Cs-137,,7.2,Bq/kg
2025/02/01,Yellow goosefish,Cs-134,,11.0,Bq/kg
2025/02/01,White croaker,Cs-134,,11.0,Bq/kg
2025/02/01,Willowy flounder,Cs-134,,10.0,Bq/kg
2025/02/01,Conger eel,Cs-134,,8.3,Bq/kg
2025/02/01,Crimson sea bream,Cs-134,,9.6,Bq/kg
2025/02/01,Honnibe crocker,Cs-134,,8.6,Bq/kg
2025/02/01,True sardine,Cs-134,,8.4,Bq/kg
2025/02/01,Yellow goosefish,Cs-137,,7.0,Bq/kg
2025/02/01,White croaker,Cs-137,,8.0,Bq/kg
2025/02/01,Willowy flounder,Cs-137,,7.4,Bq/kg
2025/02/01,Conger eel,Cs-137,,7.2,Bq/kg
2025/02/01,Crimson sea bream,Cs-137,,7.8,Bq/kg
2025/02/01,Honnibe crocker,Cs-137,,9.1,Bq/kg
2025/02/01,True sardine,Cs-137,,6.8,Bq/kg
2025/01/25,Yellow goosefish,Cs-134,,8.4,Bq/kg
2025/01/25,White croaker,Cs-134,,9.1,Bq/kg
2025/01/25,Willowy flounder,Cs-134,,7.8,Bq/kg
2025/01/25,Conger eel,Cs-134,,9.5,Bq/kg
2025/01/25,Honnibe crocker,Cs-134,,11.0,Bq/kg
2025/01/25,Microstomus achne,Cs-134,,11.0,Bq/kg
2025/01/25,True sardine,Cs-134,,9.3,Bq/kg
2025/01/25,Chub mackerel,Cs-134,,7.2,Bq/kg
2025/01/25,Sawedged perch,Cs-134,,10.0,Bq/kg
2025/01/25,Yellow goosefish,Cs-137,,8.8,Bq/kg
2025/01/25,White croaker,Cs-137,,8.3,Bq/kg
2025/01/25,Willowy flounder,Cs-137,,7.1,Bq/kg
2025/01/25,Conger eel,Cs-137,,7.5,Bq/kg
2025/01/25,Honnibe crocker,Cs-137,,8.0,Bq/kg
2025/01/25,Microstomus achne,Cs-137,,7.5,Bq/kg
2025/01/25,True sardine,Cs-137,,7.2,Bq/kg
2025/01/25,Chub mackerel,Cs-137,,7.6,Bq/kg
2025/01/25,Sawedged perch,Cs-137,,8.3,Bq/kg
2025/01/12,Redwing searobin,Cs-134,,7.0,Bq/kg
2025/01/12,Red sea bream,Cs-134,,8.7,Bq/kg
2025/01/12,Littlemouth flounder,Cs-134,,9.9,Bq/kg
2025/01/12,John dory,Cs-134,,9.6,Bq/kg
2025/01/12,Takifugu snyderi,Cs-134,,10.0,Bq/kg
2025/01/12,Crimson sea bream,Cs-134,,7.6,Bq/kg
2025/01/12,Ridged-eye flounder,Cs-134,,8.3,Bq/kg
2025/01/12,Bluefin searobin,Cs-134,,6.6,Bq/kg
2025/01/12,Marbled sole,Cs-134,,8.6,Bq/kg
2025/01/12,Smooth dogfish,Cs-134,,9.1,Bq/kg
2025/01/12,Spotted Flathead,Cs-134,,11.0,Bq/kg
2025/01/12,Redwing searobin,Cs-137,,8.9,Bq/kg
2025/01/12,Red sea bream,Cs-137,,8.6,Bq/kg
2025/01/12,Littlemouth flounder,Cs-137,,8.6,Bq/kg
2025/01/12,John dory,Cs-137,,7.2,Bq/kg
2025/01/12,Takifugu snyderi,Cs-137,,7.8,Bq/kg
2025/01/12,Crimson sea bream,Cs-137,,7.2,Bq/kg
2025/01/12,Ridged-eye flounder,Cs-137,,7.8,Bq/kg
2025/01/12,Bluefin searobin,Cs-137,,6.3,Bq/kg
2025/01/12,Marbled sole,Cs-137,,7.9,Bq/kg
2025/01/12,Smooth dogfish,Cs-137,,8.0,Bq/kg
2025/01/12,Spotted Flathead,Cs-137,,7.0,Bq/kg
2024/12/21,Redwing searobin,Cs-134,,8.7,Bq/kg
2024/12/21,Roundnose flounder,Cs-134,,9.4,Bq/kg
2024/12/21,John dory,Cs-134,,8.9,Bq/kg
2024/12/21,Marbled sole,Cs-134,,7.8,Bq/kg
2024/12/21,Redwing searobin,Cs-137,,7.6,Bq/kg
2024/12/21,Roundnose flounder,Cs-137,,7.8,Bq/kg
2024/12/21,John dory,Cs-137,,7.1,Bq/kg
2024/12/21,Marbled sole,Cs-137,,7.8,Bq/kg
2024/12/01,Ridged-eye flounder,Cs-134,,9.0,Bq/kg
2024/12/01,Ridged-eye flounder,Cs-134,,8.5,Bq/kg
2024/12/01,Spotted Flathead,Cs-134,,7.0,Bq/kg
2024/12/01,Ridged-eye flounder,Cs-137,,8.1,Bq/kg
2024/12/01,Ridged-eye flounder,Cs-137,,6.9,Bq/kg
2024/12/01,Spotted Flathead,Cs-137,,4.4,Bq/kg
2024/11/10,Crimson sea bream,Cs-134,,9.3,Bq/kg
2024/11/10,Bluefin searobin,Cs-134,,9.6,Bq/kg
2024/11/10,Whip stingray,Cs-134,,6.8,Bq/kg
2024/11/10,Cinnamon flounder,Cs-134,,7.8,Bq/kg
2024/11/10,Yellowtail amberjack,Cs-134,,6.6,Bq/kg
2024/11/10,Japanese tonguefish,Cs-134,,11.0,Bq/kg
2024/11/10,Red cornetfish,Cs-134,,5.7,Bq/kg
2024/11/10,Crimson sea bream,Cs-137,,9.3,Bq/kg
2024/11/10,Bluefin searobin,Cs-137,,8.2,Bq/kg
2024/11/10,Whip stingray,Cs-137,,8.1,Bq/kg
2024/11/10,Cinnamon flounder,Cs-137,,6.2,Bq/kg
2024/11/10,Yellowtail amberjack,Cs-137,,6.2,Bq/kg
2024/11/10,Japanese tonguefish,Cs-137,,7.3,Bq/kg
2024/11/10,Red cornetfish,Cs-137,,7.0,Bq/kg
2024/11/04,Redwing searobin,Cs-134,,9.3,Bq/kg
2024/11/04,White croaker,Cs-134,,8.3,Bq/kg
2024/11/04,Ridged-eye flounder,Cs-134,,9.0,Bq/kg
2024/11/04,Jack mackerel,Cs-134,,8.8,Bq/kg
2024/11/04,Marbled sole,Cs-134,,7.7,Bq/kg
2024/11/04,Horsehead tilefish,Cs-134,,8.8,Bq/kg
2024/11/04,Spotted Flathead,Cs-134,,7.2,Bq/kg
2024/11/04,Redwing searobin,Cs-137,,6.3,Bq/kg
2024/11/04,White croaker,Cs-137,,8.0,Bq/kg
2024/11/04,Ridged-eye flounder,Cs-137,,7.4,Bq/kg
2024/11/04,Jack mackerel,Cs-137,,7.2,Bq/kg
2024/11/04,Marbled sole,Cs-137,,7.4,Bq/kg
2024/11/04,Horsehead tilefish,Cs-137,,8.1,Bq/kg
2024/11/04,Spotted Flathead,Cs-137,,8.3,Bq/kg
2024/09/27,Redwing searobin,Cs-134,,9.5,Bq/kg
2024/09/27,Takifugu snyderi,Cs-134,,11,Bq/kg
2024/09/27,Crimson sea bream,Cs-134,,11,Bq/kg
2024/09/27,Ridged-eye flounder,Cs-134,,9,Bq/kg
2024/09/27,Mirror dory,Cs-134,,8.7,Bq/kg
2024/09/27,Jack mackerel,Cs-134,,9.2,Bq/kg
2024/09/27,Marbled sole,Cs-134,,9.1,Bq/kg
2024/09/27,Sea conger,Cs-134,,9.4,Bq/kg
2024/09/27,Smooth dogfish,Cs-134,,11,Bq/kg
2024/09/27,Chub mackerel,Cs-134,,11,Bq/kg
2024/09/27,Lizardfish,Cs-134,,9.3,Bq/kg
2024/09/27,Horsehead tilefish,Cs-134,,8.3,Bq/kg
2024/09/27,Globefish,Cs-134,,9.5,Bq/kg
2024/09/27,Japanese barracuda,Cs-134,,9.1,Bq/kg
2024/09/27,Redwing searobin,Cs-137,,7.6,Bq/kg
2024/09/27,Takifugu snyderi,Cs-137,,8.8,Bq/kg
2024/09/27,Crimson sea bream,Cs-137,,8.6,Bq/kg
2024/09/27,Ridged-eye flounder,Cs-137,,7.2,Bq/kg
